observacao;idade;uf;regiao;carencia;percentual_entrada_veicu;ano_modelo_veic;idade_bem;qtde_prestacoes;vlr_principal;taxa_mensal;vlr_renda;vlr_max_renda_presum;pc_compr_renda_familiar;autonomos;taxistas;status_prop;score_sis;var_1;var_2;var_3;var_4;var_5;idade_veiculo;target
obs8910;78;MA;NORDESTE;30;11.24;2022;0 Km;48;33667.36;1.28;4100.0;1312.0;23;N;N;EF;707;1.0;A2;BOM;C2;S;-1;0.0
obs3644;53;PE;NORDESTE;30;1.75;2022;0 Km;60;52395.76;0.99;3936.0;2501.0;0;N;N;EF;755;3.0;A1;BOM;C3;S;-1;1.0
obs8495;46;AM;NORTE;30;29.08;2021;0 Km;49;61690.02;1.01;8200.0;1312.0;22;N;N;EF;691;3.0;A2;BOM;B3;S;0;0.0
obs5537;40;AC;NORTE;30;30.6;2021;0 Km;49;61484.72;1.02;4510.0;2952.0;38;S;N;EF;691;3.0;A2;RUIM;B3;S;0;0.0
obs3531;70;CE;NORDESTE;30;33.82;2022;0 Km;60;49386.62;1.13;8200.0;2501.0;13;N;N;EF;692;1.0;A1;BOM;B3;;-1;0.0
obs6365;56;SP;SULDESTE;30;40.28;2022;0 Km;48;35859.35;1.0;4756.0;1845.0;20;N;N;EF;760;3.0;A4;BOM;A2;S;-1;0.0
obs3079;35;RS;SUL;30;0.0;2021;0 Km;60;39219.5;1.53;6560.0;4223.0;15;N;N;EF;693;3.0;A2;BOM;C3;S;0;0.0
obs5291;24;MS;CENTRO-OESTE;30;45.45;2016;>= 3 anos;48;21056.29;1.66;2870.0;984.0;22;N;N;EF;664;;;;;;5;0.0
obs6371;42;SC;SUL;30;53.53;2021;0 Km;48;41689.05;1.1;6150.0;8405.0;0;N;N;EF;754;3.0;A2;BOM;A2;S;0;0.0
obs9495;62;RS;SUL;30;28.25;2021;0 Km;49;67260.05;1.01;9840.0;4305.0;19;N;N;EF;751;2.0;A4;BOM;B3;S;0;0.0
obs8470;66;SP;SULDESTE;30;0.0;2015;>= 3 anos;48;39398.05;1.97;4100.0;697.0;31;N;N;EF;707;;;;;S;6;0.0
obs3188;32;RJ;SULDESTE;30;0.0;2022;0 Km;60;42805.59;1.39;5576.0;861.0;0;S;N;EF;733;1.0;A1;BOM;C3;;-1;0.0
obs2890;63;MA;NORDESTE;30;51.67;2022;0 Km;48;27380.04;0.95;2460.0;1886.0;30;N;N;EF;747;1.0;A2;BOM;A2;;-1;0.0
